no;district;year;agri_year;GDVA_agri_crore;HYV_area_000ha;Rainfall_mm;Temp_C;MCDS_days;Pesticide_MT;NPK_MT;Irrigation_pct;VarCost_Rs;KVK_intensity;KVK_expd;ExtWorker_per1000;PACS_count;APMC_yards;Road_density;AvgHolding_ha;SmallFarmer_share;CropIntensity;Herfindahl;Rainfed_share;FarmIncome_Rs000;ln_GDVA;ln_HYV;ln_Rainfall;TempAnomaly;RainAnomaly;dist_id
61;Chandrapur;2014;2014-15;2840;206.8;1110;27.4;14;295;76400;0.221;33400;42;17.2;1.11;410;10;0.69;1.38;0.738;1.35;0.452;0.645;NA;7.951559331;5.331752143;7.012115294;-0.26;-0.279543117;7
62;Chandrapur;2015;2015-16;2490;195.4;840;27.7;21;260;68100;0.198;32100;48;18.5;1.07;408;10;0.71;1.35;0.743;1.29;0.458;0.688;NA;7.820037989;5.27504874;6.733401892;0.04;-1.677258704;7
63;Chandrapur;2016;2016-17;3480;221.4;1290;28.2;9;340;83200;0.243;36100;44;19.5;1.03;405;10;0.73;1.34;0.747;1.39;0.445;0.621;NA;8.154787573;5.39997102;7.162397497;0.54;0.652267274;7
64;Chandrapur;2017;2017-18;3350;204.7;1160;27.5;12;325;79500;0.235;38200;47;20.6;1.24;402;10;0.76;1.31;0.752;1.38;0.441;0.626;NA;8.116715625;5.321545493;7.056175284;-0.16;-0.020706898;7
65;Chandrapur;2018;2018-19;3680;214.3;980;27.8;15;338;82400;0.249;40400;51;21.7;1.2;400;10;0.79;1.29;0.757;1.33;0.45;0.662;NA;8.210668031;5.367376902;6.887552572;0.14;-0.952517289;7
66;Chandrapur;2019;2019-20;3450;216.4;1480;27.9;7;348;83900;0.255;42900;55;22.9;1.16;398;10;0.82;1.26;0.762;1.43;0.436;0.595;NA;8.14612951;5.377128547;7.299797367;0.24;1.635844909;7
67;Chandrapur;2020;2020-21;3740;220.5;1350;27.2;8;364;86400;0.264;45800;21;19.6;1;395;10;0.84;1.24;0.766;1.41;0.44;0.608;NA;8.22684089;5.395897695;7.207859871;-0.46;0.962870738;7
68;Chandrapur;2021;2021-22;3880;219.2;1260;27.5;11;352;85100;0.258;49100;30;23.8;0.95;395;10;0.86;1.22;0.771;1.4;0.443;0.614;NA;8.263590433;5.389984555;7.138867;-0.16;0.496965542;7
69;Chandrapur;2022;2022-23;4070;223.8;1190;27.6;9;328;87800;0.269;52100;58;26.1;1.28;396;10;0.9;1.2;0.775;1.44;0.434;0.586;NA;8.311398278;5.410752796;7.081708586;-0.06;0.134594834;7
70;Chandrapur;2023;2023-24;4190;222.1;980;27.8;18;336;89100;0.272;55100;63;27.8;1.23;398;10;0.94;1.18;0.78;1.35;0.451;0.648;NA;8.340456013;5.403127731;6.887552572;0.14;-0.952517289;7
71;Chh_Sambhajinagar;2014;2014-15;3620;318.4;560;26.3;24;415;94100;0.145;33200;52;23.1;0.81;710;10;0.88;1.82;0.628;1.22;0.364;0.764;76.4;8.194229305;5.763308454;6.327936784;-0.26;-0.579815199;8
72;Chh_Sambhajinagar;2015;2015-16;2840;261.2;390;26.6;34;330;78500;0.112;31500;68;25.4;0.78;708;10;0.9;1.79;0.634;1.14;0.372;0.815;64.2;7.951559331;5.565286397;5.966146739;0.04;-1.662986449;8
73;Chh_Sambhajinagar;2016;2016-17;4890;354.1;740;27.1;16;510;105200;0.168;36800;56;26.2;0.74;705;10;0.92;1.77;0.639;1.26;0.358;0.742;83.5;8.494947582;5.869579359;6.606650186;0.54;0.567072008;8
74;Chh_Sambhajinagar;2017;2017-18;4670;310.5;640;26.4;21;495;98400;0.154;38900;62;27.6;0.92;702;10;0.96;1.74;0.645;1.24;0.352;0.748;86.8;8.448914351;5.738183901;6.461468176;-0.16;-0.070087551;8
75;Chh_Sambhajinagar;2018;2018-19;5120;338.2;480;26.7;26;524;103600;0.165;41500;69;29.2;0.88;700;10;1;1.71;0.651;1.16;0.365;0.795;88.5;8.540909718;5.823637436;6.173786104;0.14;-1.089542846;8
76;Chh_Sambhajinagar;2019;2019-20;4720;344.1;890;26.8;12;540;105400;0.171;44100;74;30.8;0.85;698;10;1.03;1.68;0.656;1.3;0.344;0.71;98.1;8.459564079;5.840932313;6.791221463;0.24;1.522811346;8
77;Chh_Sambhajinagar;2020;2020-21;5190;358.4;810;26.1;14;575;112600;0.185;46900;28;26.4;0.73;695;10;1.06;1.66;0.662;1.28;0.348;0.721;102.4;8.554488976;5.881649681;6.697034248;-0.46;1.013083699;8
78;Chh_Sambhajinagar;2021;2021-22;5380;351.2;750;26.4;18;552;107200;0.178;50400;40;32.1;0.68;695;10;1.09;1.63;0.667;1.26;0.351;0.73;108.2;8.590443653;5.861355862;6.620073207;-0.16;0.630787963;8
79;Chh_Sambhajinagar;2022;2022-23;5640;364.5;710;26.5;16;514;113400;0.189;53500;78;35.1;0.96;696;10;1.14;1.61;0.673;1.31;0.342;0.698;118.2;8.637639344;5.898526551;6.56526497;-0.06;0.37592414;8
80;Chh_Sambhajinagar;2023;2023-24;5810;355.2;540;26.7;30;528;115200;0.181;56400;88;37.5;0.91;698;10;1.18;1.58;0.678;1.17;0.36;0.784;98.1;8.66733585;5.872681011;6.29156914;0.14;-0.707247111;8
81;Dharashiv;2014;2014-15;2380;218.4;510;26.1;27;240;64100;0.115;29400;55;23.5;0.78;425;8;0.74;2.02;0.573;1.18;0.295;0.818;66.5;7.774855767;5.386328244;6.234410726;-0.26;-0.480879448;9
82;Dharashiv;2015;2015-16;1710;145.2;340;26.4;37;165;46200;0.074;25600;74;26.2;0.74;424;8;0.75;1.99;0.579;1.08;0.306;0.88;49.2;7.444248649;4.978112102;5.828945618;0.04;-1.616289256;9
83;Dharashiv;2016;2016-17;3190;249.1;680;26.9;19;310;74500;0.138;33100;58;26.6;0.71;420;8;0.77;1.97;0.584;1.22;0.288;0.795;74.8;8.067776196;5.517854422;6.522092798;0.54;0.65453036;9
84;Dharashiv;2017;2017-18;2980;188.5;580;26.2;23;280;67200;0.121;34800;64;28;0.89;418;8;0.8;1.93;0.59;1.19;0.284;0.802;77.8;7.999678579;5.239098007;6.363028104;-0.16;-0.013357762;9
85;Dharashiv;2018;2018-19;3410;210.5;410;26.5;29;302;71400;0.132;37100;71;29.6;0.85;415;8;0.83;1.9;0.596;1.1;0.302;0.864;78.5;8.13446757;5.349485653;6.01615716;0.14;-1.14876757;9
86;Dharashiv;2019;2019-20;3110;215.2;810;26.6;13;312;72800;0.139;39400;76;31.2;0.82;412;8;0.86;1.87;0.601;1.26;0.274;0.762;87.4;8.042378005;5.371567828;6.697034248;0.24;1.522784919;9
87;Dharashiv;2020;2020-21;3460;230.1;730;25.9;15;334;78100;0.154;41900;29;26.8;0.7;410;8;0.88;1.84;0.607;1.24;0.278;0.775;91.4;8.149023868;5.438513997;6.593044534;-0.46;0.988474421;9
88;Dharashiv;2021;2021-22;3580;221.4;670;26.2;20;320;74200;0.143;45100;41;32.5;0.65;410;8;0.9;1.81;0.612;1.22;0.282;0.784;96.2;8.183118079;5.39997102;6.507277712;-0.16;0.587741548;9
89;Dharashiv;2022;2022-23;3760;235.6;630;26.3;18;298;78900;0.158;47800;80;35.5;0.93;411;8;0.94;1.79;0.618;1.28;0.268;0.746;105.4;8.232174236;5.462135452;6.445719819;-0.06;0.320586299;9
90;Dharashiv;2023;2023-24;3870;224.1;460;26.5;33;306;80200;0.141;50400;92;38.1;0.88;413;8;0.98;1.76;0.623;1.11;0.298;0.855;83.1;8.261009786;5.412092381;6.131226489;0.14;-0.814823509;9
91;Dhule;2014;2014-15;2540;215.4;510;26.4;22;240;68200;0.185;31200;38;16.4;0.95;352;5;0.65;1.72;0.642;1.18;0.312;0.784;78.5;7.83991936;5.372496765;6.234410726;-0.25;-0.80784532;10
92;Dhule;2015;2015-16;2120;198.2;410;26.7;31;215;61400;0.162;31800;46;17.8;0.91;352;5;0.66;1.69;0.648;1.12;0.318;0.812;68.2;7.659171368;5.289276622;6.01615716;0.05;-1.486706934;10
93;Dhule;2016;2016-17;3190;238.1;690;27.1;16;280;72500;0.198;34500;41;18.5;0.88;350;5;0.68;1.67;0.653;1.22;0.309;0.765;84.1;8.067776196;5.472690753;6.536691598;0.45;0.414105584;10
94;Dhule;2017;2017-18;3080;221.5;580;26.5;19;272;69800;0.191;36200;45;19.4;1.06;349;5;0.71;1.64;0.659;1.2;0.305;0.77;87.2;8.032684876;5.400422589;6.363028104;-0.15;-0.332642191;10
95;Dhule;2018;2018-19;3450;234.5;490;26.8;24;288;73100;0.202;38500;49;20.5;1.02;345;5;0.73;1.61;0.664;1.14;0.314;0.798;89;8.14612951;5.457455588;6.194405391;0.15;-0.943617643;10
96;Dhule;2019;2019-20;3210;238.1;880;26.9;11;295;74600;0.208;40800;52;21.6;0.98;344;5;0.75;1.58;0.669;1.25;0.301;0.742;97.4;8.074026216;5.472690753;6.779921907;0.25;1.70394265;10
97;Dhule;2020;2020-21;3490;244.5;790;26.2;14;312;78400;0.216;43200;22;18.4;0.86;342;5;0.77;1.56;0.674;1.23;0.304;0.753;101.8;8.157657015;5.499215309;6.672032945;-0.45;1.092967198;10
98;Dhule;2021;2021-22;3620;247.2;720;26.5;18;304;75900;0.211;46100;31;22.4;0.81;342;5;0.79;1.53;0.679;1.21;0.307;0.761;107.4;8.194229305;5.510197726;6.579251212;-0.15;0.617764068;10
99;Dhule;2022;2022-23;3810;252.1;680;26.6;15;282;79100;0.223;48900;55;24.5;1.11;342;5;0.82;1.51;0.684;1.26;0.298;0.732;116.5;8.245384468;5.529825834;6.522092798;-0.05;0.346219423;10
100;Dhule;2023;2023-24;3920;255.4;540;26.8;28;291;80400;0.226;51500;62;26.1;1.06;343;5;0.85;1.49;0.689;1.15;0.316;0.806;99.6;8.273846933;5.542830944;6.29156914;0.15;-0.604186836;10
101;Gadchiroli;2014;2014-15;1310;125.2;1340;26.9;10;110;22400;0.158;19800;31;11.8;1.48;155;5;0.32;1.45;0.712;1.22;0.624;0.762;NA;7.177782416;4.829912459;7.200424893;-0.26;-0.305790816;11
102;Gadchiroli;2015;2015-16;1190;119.4;1040;27.2;16;98;19800;0.142;19100;34;12.5;1.44;155;5;0.33;1.43;0.717;1.18;0.629;0.794;NA;7.081708586;4.782479201;6.946975992;0.04;-1.761937561;11
103;Gadchiroli;2016;2016-17;1550;134.6;1520;27.7;7;125;24500;0.171;21400;33;13.4;1.4;154;5;0.34;1.41;0.721;1.25;0.618;0.74;NA;7.34601021;4.902307417;7.326465614;0.54;0.56789723;11
104;Gadchiroli;2017;2017-18;1490;126.1;1390;27;9;115;22800;0.164;22500;35;14.1;1.62;154;5;0.36;1.39;0.726;1.24;0.615;0.745;NA;7.306531399;4.837075243;7.237059026;-0.16;-0.063099692;11
105;Gadchiroli;2018;2018-19;1640;131.2;1210;27.3;11;120;23600;0.175;23800;38;14.9;1.56;152;5;0.38;1.36;0.731;1.21;0.621;0.772;NA;7.402451521;4.876722877;7.098375639;0.14;-0.936787739;11
106;Gadchiroli;2019;2019-20;1510;132.5;1740;27.4;5;124;24100;0.181;25200;41;15.7;1.51;151;5;0.4;1.34;0.736;1.28;0.611;0.721;NA;7.31986493;4.886582645;7.461640392;0.24;1.635738176;11
107;Gadchiroli;2020;2020-21;1650;135.1;1610;26.7;6;128;25200;0.189;26800;15;13.5;1.32;150;5;0.42;1.32;0.741;1.26;0.614;0.734;NA;7.408530567;4.906015245;7.383989458;-0.46;1.004741254;11
108;Gadchiroli;2021;2021-22;1710;134.8;1510;27;8;125;24600;0.184;28900;21;16.3;1.26;150;5;0.44;1.3;0.746;1.25;0.617;0.741;NA;7.444248649;4.903792198;7.31986493;-0.16;0.519359006;11
109;Gadchiroli;2022;2022-23;1800;137.4;1430;27.1;7;116;25400;0.192;30600;43;17.9;1.64;150;5;0.46;1.28;0.75;1.29;0.61;0.712;NA;7.495541944;4.92289638;7.265429723;-0.06;0.131053207;11
110;Gadchiroli;2023;2023-24;1850;136.5;1240;27.3;13;119;25800;0.195;32300;46;19.1;1.58;151;5;0.49;1.26;0.755;1.22;0.622;0.765;NA;7.522940918;4.916324615;7.122866659;0.14;-0.791173064;11
111;Gondia;2014;2014-15;2120;193.4;1210;26.3;11;250;64500;0.365;31800;36;14.5;1.38;225;6;0.73;0.98;0.851;1.44;0.712;0.558;NA;7.659171368;5.264760583;7.098375639;-0.26;-0.376651471;12
112;Gondia;2015;2015-16;1940;188.5;940;26.6;17;230;59200;0.342;30900;41;15.6;1.34;225;6;0.75;0.96;0.855;1.39;0.718;0.598;NA;7.570443252;5.239098007;6.845879875;0.04;-1.732596765;12
113;Gondia;2016;2016-17;2450;198.2;1410;27.1;7;275;67900;0.381;33800;38;16.4;1.3;224;6;0.76;0.95;0.859;1.48;0.705;0.532;NA;7.803843304;5.289276622;7.251344983;0.54;0.627752451;12
114;Gondia;2017;2017-18;2390;191.4;1280;26.4;9;262;65200;0.374;35400;41;17.3;1.52;222;6;0.8;0.93;0.863;1.47;0.701;0.538;NA;7.779048645;5.254365479;7.154615357;-0.16;-0.025110098;12
115;Gondia;2018;2018-19;2590;195.6;1110;26.7;11;268;66800;0.388;37200;44;18.2;1.47;221;6;0.83;0.91;0.867;1.42;0.709;0.574;NA;7.859413155;5.276071758;7.012115294;0.14;-0.878853432;12
116;Gondia;2019;2019-20;2420;196.8;1610;26.8;5;272;67900;0.394;39500;48;19.2;1.42;220;6;0.86;0.89;0.871;1.52;0.696;0.512;NA;7.791522819;5.282187985;7.383989458;0.24;1.632156373;12
